1,The buff,N,1,4.9,$$,1,
1,The Parkway Cafe,N,1,4.6,$$,1,
1,Snooze An A.M. Eatery,1,4.0,$$,1,
1,Lucile’s,N,1,4.1,$$,1,
3,May wah,N,3,4.7,$$,1,
3,Flower Pepper Restaurant,N,3,4.0,$$,1,
3,Haoway Chinese Cafe,N,3,3.5,$$,1,
3,Zoe Ma Ma,N,3,4.1,$,1,
3,Hapa Sushi,N,2,3.4,$$$,1,
3,Kathmandu 3 ll,N,7,4.5,$$,1,
3,Curry n Kebob,N,7,4.6,$$,1,
3,Jaipur Indian Restaurant,N,7,4.0,$$,1,
3,Tadka Indian Cuisine,N,7,4.1,$$,1,
3,Zoes Kitchen,N,5,4,$,1,
3,Kalita Grill Greek Cafe,N,5,4.0,$$,1,
3,Zoes Kitchen,N,5,4,$,1,
3,Ali Baba Grill,N,5,4.2,$$,1,
3,Flower Child,Y,1,4.3,$,1,
3,ll Pastaio,N,6,4.9,$$$,1,
3,Sforno Trattoria Romana,N,6,4.0,$$,1,
3,Via Perla,N,6,4.0,$$,1,
3,Pasta Jay’s,N,6,3.5,$$,1,
2,The laughing Goat,N,1,4.5,$,1,
2,Alpine Modern Café,N,1,5,$,1,
3,Alforat 3,N,5,4.1,$$,1,
3,Funny Plus,N,4,4.2,$$,3,
1,3 Biscuit Co.,N,1,4.3,$,3,
3,Euclid Hall Bar & Kitchen,N,1,3.9,$$$,3,
3,Sushi Den,N,2,4.2,$$$,3,
3,Sam's No. 3 Downtown,N,8,4.1,$$,3,
1,Snooze,N,1,3.7,$$,3,
3,Maggiano's Little Italy,N,6,4.2,$$,3,
3,The Bronze Empire,N,3,4.7,$$$,3,
3,Zoe Ma Ma,N,3,4.7,$,3,
3,Sahara 3,N,5,4.6,$$$,3,
2,Novo 2,N,1,3.4,$,3,
2,Navah 2 House,N,1,4.2,$,2,
3,Red Robin,N,1,3.1,$$,2,
3,Texas Road House,N,1,4.5,$$,2,
3,Dae Gee 4 BBQ,N,4,3.7,$$$,2,
3,Chuy's,N,8,3.5,$$,2,
3,Himalayan Curry House,N,7,4,$$,2,
3,Root Down,Y,1,4.7,$$,2,
1,Blue Sky Bistro,N,1,3.8,$$,2,
3,Saigon Basil,N,3,3.3,$$,2,
3,Bonchon Chicken,N,4,3.9,$$,2,
3,Sano's 6 Kitchen,N,6,3,$$$,2,
